T: 11.403, {'yaw': 104.313, 'roll': -3.3125, 'pitch': 44.9375}, {'ax': 5.0, 'ay': 1.83, 'az': -1.97}, {'my': -6.875, 'mz': -8.6875, 'mx': -42.5}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 11.666, {'yaw': 138.188, 'roll': 8.875, 'pitch': 55.0}, {'ax': 7.52, 'ay': 5.9, 'az': 2.29}, {'my': -21.5, 'mz': -20.0, 'mx': -32.6875}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 11.924, {'yaw': 149.938, 'roll': 17.125, 'pitch': 63.9375}, {'ax': 7.0, 'ay': 7.6, 'az': 2.44}, {'my': -22.5625, 'mz': -21.75, 'mx': -28.6875}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 11.9879, {'yaw': 143.188, 'roll': 21.0625, 'pitch': 86.6875}, {'ax': 8.98, 'ay': 3.52, 'az': 5.41}, {'my': -15.5625, 'mz': -28.25, 'mx': -31.0625}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 12.3929, {'yaw': 132.375, 'roll': 14.25, 'pitch': 87.1875}, {'ax': 9.34, 'ay': 8.01, 'az': -0.28}, {'my': -13.6875, 'mz': -22.5625, 'mx': -33.6875}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 12.4559, {'yaw': 133.063, 'roll': 14.4375, 'pitch': 83.1875}, {'ax': 5.96, 'ay': 5.45, 'az': 1.14}, {'my': -13.0, 'mz': -21.0, 'mx': -36.75}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 12.913, {'yaw': 135.25, 'roll': 16.75, 'pitch': 82.4375}, {'ax': 6.33, 'ay': 6.2, 'az': 1.05}, {'my': -14.75, 'mz': -21.375, 'mx': -36.5}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 12.985, {'yaw': 136.813, 'roll': 20.0, 'pitch': 80.5}, {'ax': 6.27, 'ay': 7.49, 'az': 0.32}, {'my': -18.1875, 'mz': -18.375, 'mx': -35.375}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 13.4039, {'yaw': 137.188, 'roll': 20.125, 'pitch': 79.6875}, {'ax': 4.76, 'ay': 5.95, 'az': 0.48}, {'my': -17.5, 'mz': -19.5, 'mx': -35.375}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 13.4669, {'yaw': 138.25, 'roll': 19.4375, 'pitch': 77.75}, {'ax': 4.79, 'ay': 6.96, 'az': -1.71}, {'my': -19.875, 'mz': -21.0, 'mx': -33.875}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 13.9189, {'yaw': 133.375, 'roll': 12.3125, 'pitch': 71.5625}, {'ax': 5.08, 'ay': 6.8, 'az': 1.64}, {'my': -19.5625, 'mz': -19.875, 'mx': -34.25}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 13.9819, {'yaw': 93.625, 'roll': -34.0625, 'pitch': 48.9375}, {'ax': 9.96, 'ay': -1.8, 'az': 0.91}, {'my': 3.375, 'mz': -27.6875, 'mx': -37.6875}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 14.449, {'yaw': 87.25, 'roll': -42.5, 'pitch': 32.625}, {'ax': 10.98, 'ay': -2.86, 'az': 0.59}, {'my': 10.1875, 'mz': -30.6875, 'mx': -34.75}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 14.5129, {'yaw': 95.9375, 'roll': -34.875, 'pitch': 14.6875}, {'ax': 8.72, 'ay': -1.25, 'az': 1.71}, {'my': -1.25, 'mz': -23.6875, 'mx': -37.875}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 14.96, {'yaw': 94.5625, 'roll': -36.1875, 'pitch': 16.0}, {'ax': 8.79, 'ay': -0.44, 'az': 1.27}, {'my': -0.875, 'mz': -25.1875, 'mx': -37.875}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
